type,client,tx,amount
resolve,61,123,
deposit,61,124,2.0
dispute,61,124,
chargeback,61,124,
deposit,62,124,2.0
dispute,62,124,
resolve,62,124,
withdrawal,62,125,1.5
dispute,62,125,
resolve,62,125,
deposit,62,126,2.0
dispute,62,126,
chargeback,62,126,
deposit,63,126,2.0
dispute,63,126,
resolve,63,126,
withdrawal,63,127,1.5
dispute,63,127,
resolve,63,127,
deposit,63,128,2.0
dispute,63,128,
chargeback,63,128,
deposit,64,128,2.0
dispute,64,128,
resolve,64,128,
withdrawal,64,129,1.5
dispute,64,129,
resolve,64,129,
deposit,64,130,2.0
dispute,64,130,
chargeback,64,130,
deposit,65,130,2.0
dispute,65,130,
resolve,65,130,
withdrawal,65,131,1.5
dispute,65,131,
resolve,65,131,
deposit,65,132,2.0
dispute,65,132,
chargeback,65,132,
deposit,66,132,2.0
dispute,66,132,
resolve,66,132,
withdrawal,66,133,1.5
dispute,66,133,
resolve,66,133,
deposit,66,134,2.0
dispute,66,134,
chargeback,66,134,
deposit,67,134,2.0
dispute,67,134,
resolve,67,134,
withdrawal,67,135,1.5
dispute,67,135,
resolve,67,135,
deposit,67,136,2.0
dispute,67,136,
chargeback,67,136,
deposit,68,136,2.0
dispute,68,136,
resolve,68,136,
withdrawal,68,137,1.5
dispute,68,137,
resolve,68,137,
deposit,68,138,2.0
dispute,68,138,
chargeback,68,138,
deposit,69,138,2.0
dispute,69,138,
resolve,69,138,
withdrawal,69,139,1.5
dispute,69,139,
resolve,69,139,
deposit,69,140,2.0
dispute,69,140,
chargeback,69,140,
deposit,70,140,2.0
dispute,70,140,
resolve,70,140,
withdrawal,70,141,1.5
dispute,70,141,
resolve,70,141,
deposit,70,142,2.0
dispute,70,142,
chargeback,70,142,
deposit,71,142,2.0
dispute,71,142,
resolve,71,142,
withdrawal,71,143,1.5
dispute,71,143,
resolve,71,143,
deposit,71,144,2.0
dispute,71,144,
chargeback,71,144,
deposit,72,144,2.0
dispute,72,144,
resolve,72,144,
withdrawal,72,145,1.5
dispute,72,145,
resolve,72,145,
deposit,72,146,2.0
dispute,72,146,
chargeback,72,146,
deposit,73,146,2.0
dispute,73,146,
resolve,73,146,
withdrawal,73,147,1.5
dispute,73,147,
resolve,73,147,
deposit,73,148,2.0
dispute,73,148,
chargeback,73,148,
deposit,74,148,2.0
dispute,74,148,
resolve,74,148,
withdrawal,74,149,1.5
dispute,74,149,
resolve,74,149,
deposit,74,150,2.0
dispute,74,150,
chargeback,74,150,
deposit,75,150,2.0
dispute,75,150,
resolve,75,150,
withdrawal,75,151,1.5
dispute,75,151,
resolve,75,151,
deposit,75,152,2.0
dispute,75,152,
chargeback,75,152,
deposit,76,152,2.0
dispute,76,152,
resolve,76,152,
withdrawal,76,153,1.5
dispute,76,153,
resolve,76,153,
deposit,76,154,2.0
dispute,76,154,
chargeback,76,154,
deposit,77,154,2.0
dispute,77,154,
resolve,77,154,
withdrawal,77,155,1.5
dispute,77,155,
resolve,77,155,
deposit,77,156,2.0
dispute,77,156,
chargeback,77,156,
deposit,78,156,2.0
dispute,78,156,
resolve,78,156,
withdrawal,78,157,1.5
dispute,78,157,
resolve,78,157,
deposit,78,158,2.0
dispute,78,158,
chargeback,78,158,
deposit,79,158,2.0
dispute,79,158,
resolve,79,158,
withdrawal,79,159,1.5
dispute,79,159,
resolve,79,159,
deposit,79,160,2.0
dispute,79,160,
chargeback,79,160,
deposit,80,160,2.0
dispute,80,160,
resolve,80,160,
withdrawal,80,161,1.5
dispute,80,161,
resolve,80,161,
deposit,80,162,2.0
dispute,80,162,
chargeback,80,162,
deposit,81,162,2.0
dispute,81,162,
resolve,81,162,
withdrawal,81,163,1.5
dispute,81,163,
resolve,81,163,
deposit,81,164,2.0
dispute,81,164,
chargeback,81,164,
deposit,82,164,2.0
dispute,82,164,
resolve,82,164,
withdrawal,82,165,1.5
dispute,82,165,
resolve,82,165,
deposit,82,166,2.0
dispute,82,166,
chargeback,82,166,
deposit,83,166,2.0
dispute,83,166,
resolve,83,166,
withdrawal,83,167,1.5
dispute,83,167,
resolve,83,167,
deposit,83,168,2.0
dispute,83,168,
chargeback,83,168,
deposit,84,168,2.0
dispute,84,168,
resolve,84,168,
withdrawal,84,169,1.5
dispute,84,169,
resolve,84,169,
deposit,84,170,2.0
dispute,84,170,
chargeback,84,170,
deposit,85,170,2.0
dispute,85,170,
resolve,85,170,
withdrawal,85,171,1.5
dispute,85,171,
resolve,85,171,
deposit,85,172,2.0
dispute,85,172,
chargeback,85,172,
deposit,86,172,2.0
dispute,86,172,
resolve,86,172,
withdrawal,86,173,1.5
dispute,86,173,
resolve,86,173,
deposit,86,174,2.0
dispute,86,174,
chargeback,86,174,
deposit,87,174,2.0
dispute,87,174,
resolve,87,174,
withdrawal,87,175,1.5
dispute,87,175,
resolve,87,175,
deposit,87,176,2.0
dispute,87,176,
chargeback,87,176,
deposit,88,176,2.0
dispute,88,176,
resolve,88,176,
withdrawal,88,177,1.5
dispute,88,177,
resolve,88,177,
deposit,88,178,2.0
dispute,88,178,
chargeback,88,178,
deposit,89,178,2.0
dispute,89,178,
resolve,89,178,
withdrawal,89,179,1.5
dispute,89,179,
resolve,89,179,
deposit,89,180,2.0
dispute,89,180,
chargeback,89,180,
deposit,90,180,2.0
dispute,90,180,
resolve,90,180,
withdrawal,90,181,1.5
dispute,90,181,
resolve,90,181,
deposit,90,182,2.0
dispute,90,182,
chargeback,90,182,
deposit,91,182,2.0
dispute,91,182,
resolve,91,182,
withdrawal,91,183,1.5
dispute,91,183,
resolve,91,183,
deposit,91,184,2.0
dispute,91,184,
chargeback,91,184,
deposit,92,184,2.0
dispute,92,184,
resolve,92,184,
withdrawal,92,185,1.5
dispute,92,185,
resolve,92,185,
deposit,92,186,2.0
dispute,92,186,
chargeback,92,186,
deposit,93,186,2.0
dispute,93,186,
resolve,93,186,
withdrawal,93,187,1.5
dispute,93,187,
resolve,93,187,
deposit,93,188,2.0
dispute,93,188,
chargeback,93,188,
deposit,94,188,2.0
dispute,94,188,
resolve,94,188,
withdrawal,94,189,1.5
dispute,94,189,
resolve,94,189,
deposit,94,190,2.0
dispute,94,190,
chargeback,94,190,
deposit,95,190,2.0
dispute,95,190,
resolve,95,190,
withdrawal,95,191,1.5
dispute,95,191,
resolve,95,191,
deposit,95,192,2.0
dispute,95,192,
chargeback,95,192,
deposit,96,192,2.0
dispute,96,192,
resolve,96,192,
withdrawal,96,193,1.5
dispute,96,193,
resolve,96,193,
deposit,96,194,2.0
dispute,96,194,
chargeback,96,194,
deposit,97,194,2.0
dispute,97,194,
resolve,97,194,
withdrawal,97,195,1.5
dispute,97,195,
resolve,97,195,
deposit,97,196,2.0
dispute,97,196,
chargeback,97,196,
deposit,98,196,2.0
dispute,98,196,
resolve,98,196,
withdrawal,98,197,1.5
dispute,98,197,
resolve,98,197,
deposit,98,198,2.0
dispute,98,198,
chargeback,98,198,
deposit,99,198,2.0
dispute,99,198,
resolve,99,198,
withdrawal,99,199,1.5
dispute,99,199,
resolve,99,199,
deposit,99,200,2.0
dispute,99,200,
chargeback,99,200,
deposit,100,200,2.0
dispute,100,200,
resolve,100,200,
withdrawal,100,201,1.5
dispute,100,201,
resolve,100,201,
deposit,100,202,2.0
dispute,100,202,
chargeback,100,202,
deposit,101,202,2.0
dispute,101,202,
resolve,101,202,
withdrawal,101,203,1.5
dispute,101,203,
resolve,101,203,
deposit,101,204,2.0
dispute,101,204,
chargeback,101,204,
deposit,102,204,2.0
dispute,102,204,
resolve,102,204,
withdrawal,102,205,1.5
dispute,102,205,
resolve,102,205,
deposit,102,206,2.0
dispute,102,206,
chargeback,102,206,
deposit,103,206,2.0
dispute,103,206,
resolve,103,206,
withdrawal,103,207,1.5
dispute,103,207,
resolve,103,207,
deposit,103,208,2.0
dispute,103,208,
chargeback,103,208,
deposit,104,208,2.0
dispute,104,208,
resolve,104,208,
withdrawal,104,209,1.5
dispute,104,209,
resolve,104,209,
deposit,104,210,2.0
dispute,104,210,
chargeback,104,210,
deposit,105,210,2.0
dispute,105,210,
resolve,105,210,
withdrawal,105,211,1.5
dispute,105,211,
resolve,105,211,
deposit,105,212,2.0
dispute,105,212,
chargeback,105,212,
deposit,106,212,2.0
dispute,106,212,
resolve,106,212,
withdrawal,106,213,1.5
dispute,106,213,
resolve,106,213,
deposit,106,214,2.0
dispute,106,214,
chargeback,106,214,
deposit,107,214,2.0
dispute,107,214,
resolve,107,214,
withdrawal,107,215,1.5
dispute,107,215,
resolve,107,215,
deposit,107,216,2.0
dispute,107,216,
chargeback,107,216,
deposit,108,216,2.0
dispute,108,216,
resolve,108,216,
withdrawal,108,217,1.5
dispute,108,217,
resolve,108,217,
deposit,108,218,2.0
dispute,108,218,
chargeback,108,218,
deposit,109,218,2.0
dispute,109,218,
resolve,109,218,
withdrawal,109,219,1.5
dispute,109,219,
resolve,109,219,
deposit,109,220,2.0
dispute,109,220,
chargeback,109,220,
deposit,110,220,2.0
dispute,110,220,
resolve,110,220,
withdrawal,110,221,1.5
dispute,110,221,
resolve,110,221,
deposit,110,222,2.0
dispute,110,222,
chargeback,110,222,
deposit,111,222,2.0
dispute,111,222,
resolve,111,222,
withdrawal,111,223,1.5
dispute,111,223,
resolve,111,223,
deposit,111,224,2.0
dispute,111,224,
chargeback,111,224,
deposit,112,224,2.0
dispute,112,224,
resolve,112,224,
withdrawal,112,225,1.5
dispute,112,225,
resolve,112,225,
deposit,112,226,2.0
dispute,112,226,
chargeback,112,226,
deposit,113,226,2.0
dispute,113,226,
resolve,113,226,
withdrawal,113,227,1.5
dispute,113,227,
resolve,113,227,
deposit,113,228,2.0
dispute,113,228,
chargeback,113,228,
deposit,114,228,2.0
dispute,114,228,
resolve,114,228,
withdrawal,114,229,1.5
dispute,114,229,
resolve,114,229,
deposit,114,230,2.0
dispute,114,230,
chargeback,114,230,
deposit,115,230,2.0
dispute,115,230,
resolve,115,230,
withdrawal,115,231,1.5
dispute,115,231,
resolve,115,231,
deposit,115,232,2.0
dispute,115,232,
chargeback,115,232,
deposit,116,232,2.0
dispute,116,232,
resolve,116,232,
withdrawal,116,233,1.5
dispute,116,233,
resolve,116,233,
deposit,116,234,2.0
dispute,116,234,
chargeback,116,234,
deposit,117,234,2.0
dispute,117,234,
resolve,117,234,
withdrawal,117,235,1.5
dispute,117,235,
resolve,117,235,
deposit,117,236,2.0
dispute,117,236,
chargeback,117,236,
deposit,118,236,2.0
dispute,118,236,
resolve,118,236,
withdrawal,118,237,1.5
dispute,118,237,
resolve,118,237,
deposit,118,238,2.0
dispute,118,238,
chargeback,118,238,
deposit,119,238,2.0
dispute,119,238,
resolve,119,238,
withdrawal,119,239,1.5
dispute,119,239,
resolve,119,239,
deposit,119,240,2.0
dispute,119,240,
chargeback,119,240,
deposit,120,240,2.0
dispute,120,240,
resolve,120,240,
withdrawal,120,241,1.5
dispute,120,241,
resolve,120,241,
deposit,120,242,2.0
dispute,120,242,
chargeback,120,242,
deposit,121,242,2.0
dispute,121,242,
resolve,121,242,
withdrawal,121,243,1.5
dispute,121,243,
resolve,121,243,
deposit,121,244,2.0
dispute,121,244,
chargeback,121,244,
deposit,122,244,2.0
dispute,122,244,
resolve,122,244,
withdrawal,122,245,1.5
dispute,122,245,
resolve,122,245,
deposit,122,246,2.0
dispute,122,246,
chargeback,122,246,
deposit,123,246,2.0
dispute,123,246,
resolve,123,246,
withdrawal,123,247,1.5
dispute,123,247,
resolve,123,247,
deposit,123,248,2.0
dispute,123,248,
chargeback,123,248,
deposit,124,248,2.0
dispute,124,248,
resolve,124,248,
withdrawal,124,249,1.5
dispute,124,249,
resolve,124,249,
deposit,124,250,2.0
dispute,124,250,
chargeback,124,250,
deposit,125,250,2.0
dispute,125,250,
resolve,125,250,
withdrawal,125,251,1.5
dispute,125,251,
resolve,125,251,
deposit,125,252,2.0
dispute,125,252,
chargeback,125,252,
deposit,126,252,2.0
dispute,126,252,
resolve,126,252,
withdrawal,126,253,1.5
dispute,126,253,
resolve,126,253,
deposit,126,254,2.0
dispute,126,254,
chargeback,126,254,
deposit,127,254,2.0
dispute,127,254,
resolve,127,254,
withdrawal,127,255,1.5
dispute,127,255,
resolve,127,255,
deposit,127,256,2.0
dispute,127,256,
chargeback,127,256,
deposit,128,256,2.0
dispute,128,256,
resolve,128,256,
withdrawal,128,257,1.5
dispute,128,257,
resolve,128,257,
deposit,128,258,2.0
dispute,128,258,
chargeback,128,258,
deposit,129,258,2.0
dispute,129,258,
resolve,129,258,
withdrawal,129,259,1.5
dispute,129,259,
resolve,129,259,
deposit,129,260,2.0
dispute,129,260,
chargeback,129,260,
deposit,130,260,2.0
dispute,130,260,
resolve,130,260,
withdrawal,130,261,1.5
dispute,130,261,
resolve,130,261,
deposit,130,262,2.0
dispute,130,262,
chargeback,130,262,
deposit,131,262,2.0
dispute,131,262,
resolve,131,262,
withdrawal,131,263,1.5
dispute,131,263,
resolve,131,263,
deposit,131,264,2.0
dispute,131,264,
chargeback,131,264,
deposit,132,264,2.0
dispute,132,264,
resolve,132,264,
withdrawal,132,265,1.5
dispute,132,265,
resolve,132,265,
deposit,132,266,2.0
dispute,132,266,
chargeback,132,266,
deposit,133,266,2.0
dispute,133,266,
resolve,133,266,
withdrawal,133,267,1.5
dispute,133,267,
resolve,133,267,
deposit,133,268,2.0
dispute,133,268,
chargeback,133,268,
deposit,134,268,2.0
dispute,134,268,
resolve,134,268,
withdrawal,134,269,1.5
dispute,134,269,
resolve,134,269,
deposit,134,270,2.0
dispute,134,270,
chargeback,134,270,
deposit,135,270,2.0
dispute,135,270,
resolve,135,270,
withdrawal,135,271,1.5
dispute,135,271,
resolve,135,271,
deposit,135,272,2.0
dispute,135,272,
chargeback,135,272,
deposit,136,272,2.0
dispute,136,272,
resolve,136,272,
withdrawal,136,273,1.5
dispute,136,273,
resolve,136,273,
deposit,136,274,2.0
dispute,136,274,
chargeback,136,274,
deposit,137,274,2.0
dispute,137,274,
resolve,137,274,
withdrawal,137,275,1.5
dispute,137,275,
resolve,137,275,
deposit,137,276,2.0
dispute,137,276,
chargeback,137,276,
deposit,138,276,2.0
dispute,138,276,
resolve,138,276,
withdrawal,138,277,1.5
dispute,138,277,
resolve,138,277,
deposit,138,278,2.0
dispute,138,278,
chargeback,138,278,
deposit,139,278,2.0
dispute,139,278,
resolve,139,278,
withdrawal,139,279,1.5
dispute,139,279,
resolve,139,279,
deposit,139,280,2.0
dispute,139,280,
chargeback,139,280,
deposit,140,280,2.0
dispute,140,280,
resolve,140,280,
withdrawal,140,281,1.5
dispute,140,281,
resolve,140,281,
deposit,140,282,2.0
dispute,140,282,
chargeback,140,282,
deposit,141,282,2.0
dispute,141,282,
resolve,141,282,
withdrawal,141,283,1.5
dispute,141,283,
resolve,141,283,
deposit,141,284,2.0
dispute,141,284,
chargeback,141,284,
deposit,142,284,2.0
dispute,142,284,
resolve,142,284,
withdrawal,142,285,1.5
dispute,142,285,
resolve,142,285,
deposit,142,286,2.0
dispute,142,286,
chargeback,142,286,
deposit,143,286,2.0
dispute,143,286,
resolve,143,286,
withdrawal,143,287,1.5
dispute,143,287,
resolve,143,287,
deposit,143,288,2.0
dispute,143,288,
chargeback,143,288,
deposit,144,288,2.0
dispute,144,288,
resolve,144,288,
withdrawal,144,289,1.5
dispute,144,289,
resolve,144,289,
deposit,144,290,2.0
dispute,144,290,
chargeback,144,290,
deposit,145,290,2.0
dispute,145,290,
resolve,145,290,
withdrawal,145,291,1.5
dispute,145,291,
resolve,145,291,
deposit,145,292,2.0
dispute,145,292,
chargeback,145,292,
deposit,146,292,2.0
dispute,146,292,
resolve,146,292,
withdrawal,146,293,1.5
dispute,146,293,
resolve,146,293,
deposit,146,294,2.0
dispute,146,294,
chargeback,146,294,
deposit,147,294,2.0
dispute,147,294,
resolve,147,294,
withdrawal,147,295,1.5
dispute,147,295,
resolve,147,295,
deposit,147,296,2.0
dispute,147,296,
chargeback,147,296,
deposit,148,296,2.0
dispute,148,296,
resolve,148,296,
withdrawal,148,297,1.5
dispute,148,297,
resolve,148,297,
deposit,148,298,2.0
dispute,148,298,
chargeback,148,298,
deposit,149,298,2.0
dispute,149,298,
resolve,149,298,
withdrawal,149,299,1.5
dispute,149,299,
resolve,149,299,
deposit,149,300,2.0
dispute,149,300,
chargeback,149,300,
deposit,150,300,2.0
dispute,150,300,
resolve,150,300,
